ID,MODEL_NO,DIMAID,WID,AIRLINE,AIRCRAFT_TYPE,REGISTRATION,DESCRIPTION,SIZE,PRICE,SHIPPING,TAX,COMPANY,ORDEREDFROM,DATEOFORDER,HangarClub,PictureID
27,PH4DLH346,,24315,LUFTHANSA,A340-600,D-AIHF,Phoenix Models Lufthansa A340-642 1:400 - PH4DLH346 - ID#24315 ; 1990s  Colors. Named  Lübeck . With  Star Alliance  Logo.  All metal construction with detailed scale landing gear .D-AIHF,1:400,20.44,8.0,0.0,PHOENIX MODELS,EBAY:DEMOGRAPHER_X,2011-02-15,False,27.0
29,GJAAL1140,,33740,AMERICAN AIRLINES,B737-800,N962AN,Gemini Jets American Airlines B 737-823WL 1:400 - GJAAL1140 - ID#33740;1980s  Colors.N962AN,1:400,23.45,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2013-04-26,False,29.0
30,PH4KFR561,,25088,KINGFISHER,A330-200,VT-VJL,Phoenix Models Kingfisher Airlines A330-223 1:400 - PH4KFR561 - ID#25088 ; 2005s  Colors. VT-VJL,1:400,31.95,1.6,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2011-01-01,False,30.0
31,WID35018,,35018,QANTAS,B747-400,VH-OJB,Sky400 Qantas Airways B 747-438ER 1:400 - SKY08-XXX - ID#35018;  Fantasy - Golden Wunala Dreaming  Colors.VH-OJB,1:400,44.0,4.0,0.0,SKY400,EBAY:JOHANCHAN2004,2011-01-31,False,31.0
32,IF743003,,21375,AIR INDIA,B747-300,VT-EPW,Inflight200 Air India B 747-337SCD 1:200 - IF743003; 1990s  Colors. With Rolling Gears;VT-EPW,1:200,90.0,4.0,0.0,INFLIGHT200,EBAY:JOHANCHAN2004,2011-01-31,False,32.0
33,IF743003,,21375,AIR INDIA,B747-300,VT-EPW,Inflight200 Air India B 747-337SCD 1:200 - IF743003; 1990s  Colors. With Rolling Gears;VT-EPW,1:200,90.0,4.0,0.0,INFLIGHT200,EBAY:JOHANCHAN2004,2011-01-31,False,32.0
35,JC4JAL107,,21841,JAL,B747-400,JA8904,JC Wings JAL Japan Airlines B 747-446D 1:400 - JC4JAL107 - ID#21841; Dream Express #2- Sweet  Colors.JA8904,1:400,24.0,4.0,0.0,JC WINGS,EBAY:JOHANCHAN2004,2011-01-31,False,35.0
36,BB5-2002-08,,2850,JAL,B747-400,JA8908,BigBird JAL Japan Airlines B 747-446D 1:500 - BB5-2002-08 - ID#2850 ;  JAL Dream Express #1 - Friends  Colors.JA8908,1:400,20.0,4.0,0.0,BIGBIRD,EBAY:JOHANCHAN2004,2011-01-31,False,36.0
37,JC4JAL108,,21842,JAL,B747-400,JA8083,JC Wings JAL Japan Airlines B 747-446D 1:400 - JC4JAL108 - ID#21842; Dream Express #3 - Family  Colors.JA8083,1:400,20.0,4.0,0.0,JC WINGS,EBAY:JOHANCHAN2004,2011-01-31,False,37.0
38,JC2CDN082,,23147,CP AIR,DC 3,CF-CRX,JC Wings CP Air C-47A-DL 1:200 - JC2CDN082 - ID#23147 ; 1970s  Colors.CF-CRX,1:200,23.0,4.0,0.0,FLIGHTLINE 200,EBAY:JOHANCHAN2004,2011-01-31,False,38.0
39,NM0026,,4750,AIR NEW ZEALAND,B747-400,ZK-NBW,Netmodels Air New Zealand B 747-419 1:500 -  NM0026 - ID#4750 ; All Blacks  Colors. With  Star Alliance  Logo.ZK-NBW,1:500,14.0,4.0,0.0,NETMODELS,EBAY:JOHANCHAN2004,2011-01-31,False,39.0
41,WID8141,,8141,AIR EUROPE,B767-300ER,EI-CIY,BigBird400 Air Europe B 767-330ER 1:400 - BB4-2004-XX; 1990s  Colors. EI-CIY,1:400,19.0,4.0,0.0,BIGBIRD400,EBAY:JOHANCHAN2004,2011-01-31,False,41.0
42,WID13268,,13268,ANA,B747-400,JA8957,Blue Box ANA All Nippon Airways B 747-481D 1:400: 2004s - Pokemon  Colors. With  Star Alliance  Logo.JA8957,1:400,24.0,4.0,0.0,BLUE BOX,EBAY:JOHANCHAN2004,2011-01-31,False,42.0
43,IFDC10080,,27458,KLM,DC10-30,PH-DTA,Inflight200 KLM Royal Dutch Airlines DC-10-30 1:200 - IFDC10080 - ID#27458; 1970s  Colors. Named  Johann Sebastian Bach .PH-DTA,1:200,130.95,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2013-02-08,False,43.0
44,WID23455,,23455,QANTAS,B747-400,VH-OJB,Sky400 Qantas Airways B 747-438ER 1:400;  Wunala Dreaming  Colors.VH-OJB,1:400,47.0,4.0,0.0,SKY400,EBAY:JOHANCHAN2004,2011-01-31,False,44.0
45,DRW55197,,3172,PANAM,A300-200,N207PA,Dragon Wings Pan American World Airways A300B4-203F 1:400 - 55197 - ID#3172 ; 1990s  Colors. Named  Clipper Panama . With Stand.  N207PA,1:400,15.99,3.43,0.0,DRAGON WINGS,EBAY:AIRJACK,2011-02-18,False,45.0
46,DRW55591,,4258,PANAM,A310-300,N818PA,Dragon Wings Pan American World Airways A310-324ET 1:400 - 55591  - ID#4258 ; 1990s - Billboard  Colors. Named  Clipper Morning Star . With Stand.N818PA,1:400,15.99,3.43,0.0,DRAGON WINGS,EBAY:AIRJACK,2011-02-18,False,46.0
47,GJPAA033,,44,PANAM,B707-300,N884PA,Gemini Jets Pan American World Airways B 707-321B 1:400 - GJPAA033 - ID#44 ; 1970s  Colors. Named  Clipper Nightingale ; N884PA,1:400,16.5,3.43,0.0,GEMINIJETS,EBAY:AIRJACK,2011-02-18,False,47.0
48,DRW55041,,3347,GARUDA INDONESIA,A330-300,PK-GPA,Dragon Wings Garuda Indonesia A330-341 1:400 - 55041 ID#3347 ; 1990s  Colors. With Stand.PK-GPA,1:400,15.0,0.0,0.0,DRAGON WINGS,DAC:STEJAC,2011-02-18,False,48.0
49,ACCFCPL,,35230,Canadian Pacific,B737-300,C-FCPL,Aeroclassics Canadian Pacific B 737-317 1:400 - ACCFCPL - ID#35230;  Mid 1980s  livery;C-FCPL,1:400,35.0,0.0,0.0,Aeroclassics,EZTOYS,2013-03-14,False,49.0
50,GJAFR849,,18994,AIR FRANCE,A340-300,F-GLZU,Gemini Jets Air France A340-313X 1:400 - GJAFR849 - ID#18994 ; 1990s  Colors. With  SkyTeam  Logo.  F-GLZU,1:400,19.0,0.0,0.0,GEMINIJETS,DAC:STEJAC,2011-02-18,False,50.0
51,DRW61403,,3309,AIR FRANCE,A340-300,F-GLZB,Dragon Wings Air France A340-312 1:400 - 61403 - ID#3309 ; 1990s  Colors. With Stand. F-GLZB,1:400,15.0,0.0,0.0,DRAGON WINGS,DAC:STEJAC,2011-02-18,False,51.0
52,GJANZ671,,13678,AIR NEW ZEALAND,B787-800,ZK-GJA,Gemini Jets Air New Zealand B 787-819 1:400 - GJANZ671 - ID#13678 ; 1996s  Colors. With  Star Alliance  Logo. Fake Registration. With Rolling Gears.ZK-GJA,1:400,20.0,0.0,0.0,GEMINIJETS,DAC:STEJAC,2011-02-18,False,52.0
54,WID11884,,11884,THAI AIRWAYS,B747-400,HS-TGJ,BigBird400 Mk.2 Thai Airways International B 747-4D7 1:400 - BB4-2005-XX - ID#11884; 2005s  Colors. Named  Haripunchai . With  Star Alliance Logo . With Cockpit Window Frames.HS-TGJ,1:400,19.0,4.0,0.0,BIGBIRD400 MK.2,EBAY:JOHAN CHAN,2011-01-31,False,54.0
56,WID12750,,12750,PANAM,L1011-500,N505PA,Blue Box Pan American World Airways L-1011-385-3-500 1:400;  1970s  Colors. Named  Clipper Eagle Wing . With  Chrome  Belly.N505PA,1:400,19.0,4.0,0.0,BLUE BOX,EBAY:JOHANCHAN2004,2011-01-31,False,56.0
57,MP5805,,17047,LUFTHANSA,A340-600,NA,Model Power Lufthansa A340-642 1:500 - 5805 - ID#17047; 1990s  Colors. With  Star Alliance  Logo. With Stand.NA,1:500,0.0,0.0,0.0,MODEL POWER,3000TOYS.COM,2011-02-04,False,10.0
58,DRW55090,,3429,AIR CANADA,B747-400,C-GAGN,Dragon Wings Air Canada B 747-433M 1:400 - 55090 - ID#3429 ;  1995s  Colors. With  Star Alliance  Logo. With Stand.C-GAGN,1:400,18.5,2.0,0.0,DRAGON WINGS,dac:DEBJIT MUKHERJI,2011-02-16,False,58.0
59,ACACA023,,9206,AIR CANADA,B747-100,C-FTOC,Aeroclassics Air Canada B 747-133 1:400 - ACACA023 - ID#9206 ; 1980s  Colors.C-FTOC,1:400,18.5,2.0,0.0,AEROCLASSICS,dac:DEBJIT MUKHERJI,2011-02-16,False,59.0
60,DRW55490,,3580,NORTHWEST,B747-400,N670US,Dragon Wings Northwest Airlines B 747-451 1:400 - 55490 - ID#3580 ;  1990s  Colors. Named  The Alliance Spirit . With Stand.N670US,1:400,18.5,2.0,0.0,DRAGON WINGS,dac:DEBJIT MUKHERJI,2011-02-16,False,60.0
61,JX026,,2249,NORTHWEST,B747-400,N661US,Jet-X Northwest Airlines B 747-451 1:400 - JX026 - ID#2249 ; 1980s  Colors.  Polished  Version. With Stand.N661US,1:400,18.5,2.0,0.0,JET-X,dac:DEBJIT MUKHERJI,2011-02-16,False,61.0
62,GJBAW025B,,6369,BRITISH AIRWAYS,CONCORDE,G-BOAG,Gemini Jets British Airways Concorde 1:400 - GJBAW025B - ID#6369 ; Union Jack - United Kingdom  Colors;G-BOAG,1:400,20.0,3.5,0.0,GEMINIJETS,dac:smitbhaveshi,2011-02-16,False,62.0
64,DRW55881,,12639,EMIRATES,A380-800,F-WWDD,Dragon Wings Airbus Industries A380-841 1:400 - 55881 - ID#12639 ; Emirates  Colors. Colors only for Dubai 2005 Airshow. With Stand.F-WWDD,1:400,20.0,3.0,0.0,DRAGON WINGS,dac:smitbhaveshi,2011-02-16,False,64.0
65,DRW55486B,,3578,JAL,B747-400,JA8088,Dragon Wings JAL Japan Airlines B 747-446 1:400 - 55486B - ID#3578 ;Second Version;  2003s  Colors. With  Unicef  Logo. With Stand. Exclusive for the Japanese Market. JA8088,1:400,20.0,3.0,0.0,DRAGON WINGS,dac:smitbhaveshi,2011-02-16,False,65.0
66,DRW55378,,6867,AUSTRIAN AIRLINES,A330-200,OE-LAO,Dragon Wings Austrian Airlines A330-223 1:400 - 55378 - ID#6867 ;  Star Alliance  Colors. With  Star Alliance  Logo. Named  Grossglockner . With Stand. Model 1 in a SET of 2.OE-LAO,1:400,10.0,1.0,0.0,DRAGON WINGS,dac:smitbhaveshi,2011-02-16,False,66.0
67,DRW55378,,3113,AUSTRIAN AIRLINES,A320-200,OE-LBR,Dragon Wings Austrian Airlines A320-214 1:400 - 55378  - ID#3113 ;  Star Alliance  Colors. With  Star Alliance  Logo. Named  Bregenzer Wald . With Stand. Model 2 in a SET of 2.OE-LBR,1:400,10.0,1.0,0.0,DRAGON WINGS,dac:smitbhaveshi,2011-02-16,False,67.0
68,GJAFR582,,11839,AIR FRANCE,B777-300ER,F-GSQC,Gemini Jets Air France B 777-328ER 1:400 - GJAFR582 - ID#11839 ; 1990s  Colors. With  SkyTeam  Logo.F-GSQC,1:400,20.0,3.5,0.0,GEMINIJETS,dac:smitbhaveshi,2011-02-16,False,68.0
69,AC18113,,3940,AIR CHINA,B767-300,B-2558,Aeroclassics Air China B 767-3J6 1:400 - AC18113; 1990s  Colors. B-2558 Engines,1:400,20.0,3.5,0.0,AEROCLASSICS,dac:smitbhaveshi,2011-02-16,False,69.0
70,DRW55829,,11092,AIRBUS,A300-600,NA,Dragon Wings Airbus Industries A300B4-608ST 1:400 - 55829  - ID#11092 ;  2005s - House  Colors. With Stand.NA,1:400,20.0,3.5,0.0,DRAGON WINGS,dac:smitbhaveshi,2011-02-16,False,70.0
71,DRW55517,,3594,SOUTH AFRICAN,A340-600,ZS-SNB,Dragon Wings South African Airways A340-642 1:400 - 55517 - ID#3594 ; 1996s  Colors. With Stand.ZS-SNB,1:400,20.0,3.5,0.0,DRAGON WINGS,dac:smitbhaveshi,2011-02-16,False,71.0
72,GJCOA574,,10440,CONTINENTAL,B767-200,N67158,Gemini Jets Continental Airlines B 767-224ER 1:400 - GJCOA574  - ID#10440 ; 1991s  Colors. With  SkyTeam  Logo.N67158,1:400,20.0,3.5,0.0,GEMINIJETS,dac:smitbhaveshi,2011-02-16,False,72.0
73,PH4QFA552,,24822,QANTAS,B787-900,VH-ABC,Phoenix Models Qantas Airways B 787-938 1:400 - PH4QFA552  - ID#24822 ; 2007s  Colors.VH-ABC,1:400,30.95,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2011-02-18,False,73.0
74,DRW55611,,6615,QATAR AIRWAYS,A340-500,F-WWTQ 495,Dragon Wings Qatar Airways A340-541 1:400 - 55611 - ID#6615; 2000s  Colors. With Stand. F-WWTQ 495;SPECIAL MODEL,1:400,20.0,1.5,0.0,DRAGON WINGS,DAC:SMITBHAVESHI,2011-02-16,False,74.0
76,PH4QFA550,,24817,QANTAS,A300-200,VH-TAA,Phoenix Models Qantas Airways A300B4-203 1:400 - PH4QFA550 / PH10394 - ID#24817 ; 1990s  Colors.VH-TAA,1:400,29.95,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2011-02-18,False,76.0
77,GJQFA1001,,23351,QANTAS,B747-400,VH-OEB,Gemini Jets Qantas Airways B 747-48E 1:400 GJQFA1001 - ID#23351 ; 2007s  Colors. With  Come Play - Worldcup  Titles. With Rolling Gears.VH-OEB,1:400,31.95,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2011-02-18,False,77.0
78,GJQFA962,,22494,QANTAS,B747-400,VH-OJS,Gemini Jets Qantas Airways B 747-438 1:400 - GJQFA962 - ID#22494; Socceroos  Colors. With Rolling Gears.VH-OJS,1:400,31.95,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2011-02-18,False,78.0
79,G2QFA152,,20907,QantasLink,DHC8-100,VH-TQO,Gemini Jets QantasLink / Eastern Australian Airlines DHC-8-102 1:200 - G2QFA152 - ID#20907; 1990s  Colors. With Rolling Gears. With Stand.VH-TQO,1:200,34.95,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2011-02-18,False,79.0
81,DRW56150,,21301,QANTAS,B707-100,VH-XBA,Dragon Wings Qantas Airways B 707-138B 1:400 - 56150 - ID#21301 ; 1960s  Colors. With Stand.VH-XBA,1:400,20.95,0.0,0.0,DRAGON WINGS,WAFFLECOLLECTIBLES,2011-02-18,False,81.0
85,ACVTDVB,,23105,AIR INDIA,B707-300,VT-DVB,Aeroclassics Air India B 707-320C 1:400 - ACVTDVB - ID#23105; 1970s  Colors. With Polished Belly. With Rolling Gears. Named  Kamet . 400SH Club Model.Exclusive for Hangar Club members.VT-DVB,1:400,33.0,5.0,0.0,AEROCLASSICS,www.ebay.com:,2010-12-28,True,85.0
86,WID4262,,4262,CATHAY PACIFIC,B747-400,B-HOY,Herpa Cathay Pacific B 747-467 1:400 - 000000; Hong Kong - Asia's World City  Colors. B-HOY,1:400,27.0,5.25,0.0,HERPA,ALVIN LUI,2011-02-16,False,86.0
87,WID21458,,21458,AIR FRANCE,B777-300ER,F-GZND,Phoenix Models Air France B 777-328ER 1:400 - PH4AFRXXX - ID#21458; 2009s  Colors. With  SkyTeam  Logo. With Rolling Gears.F-GZND,1:400,27.0,5.25,0.0,PHOENIX MODELS,ALVIN LUI,2011-02-16,False,87.0
88,000000,,,JAL,B747-400,JA8905,JAL Tamagochi B747-400D JA8905 limited to 200 1:400;JA8905,1:400,27.0,5.25,0.0,,ALVIN LUI,2011-02-16,False,88.0
89,NA,,16768,JAL,B747-300,JA8183,5 Stars JAL Japan Airlines B 747-346 1:500 - NA - ID#16768;Resocha - Blue  Colors.JA8183,1:400,27.0,5.25,0.0,,ALVIN LUI,2011-02-16,False,89.0
90,GJNAL012,,149,NATIONAL AIRLINES,B747-100,N77772,Gemini Jets National Airlines B 747-135 1:400 - GJNAL012 - ID#149 ; 1970s  Colors.N77772,1:400,14.99,3.0,0.0,GEMINIJETS,EBAY:YS11FANATIC,2011-02-15,False,90.0
91,AC18022B,,3873,AIR INDIA,B707-400,VT-DJI,Aeroclassics Air India B 707-437 1:400 - AC18022B - ID#3873; 1960s - Delivery  Colors. Named  Nanda Devi .VT-DJI,1:400,35.0,2.0,0.0,AEROCLASSICS,dac:jr lopez,2011-02-17,False,2.0
92,NA,,,JAL,B747-200,JA8131,JAL Super Resort Express (Yellow) B747-200 JA8131;B747-246B.JA8131,1:400,27.0,5.25,0.0,,ALVIN LUI,2011-02-16,False,92.0
93,NA,,,JAL,B747-200,JA8186,JAL Resocha (Orange) B747-300 JA8186 Limited to 200 pieces;B747-300;JA8186,1:400,27.0,5.25,0.0,,ALVIN LUI,2011-02-16,False,93.0
95,PH4AIR325,,19208,AIRBUS,A380-800,F-WWDD,Phoenix Models Airbus Industries A380-841 1:400 - PH4AIR325 / PH10253 - ID#19208  ;  2005s  Colors. With  A Better Enviroment Inside & Out  Titles. With Rolling Gears.F-WWDD Engines:,1:400,26.0,1.25,0.0,PHOENIX MODELS,CORREY,2011-02-15,False,95.0
96,AV2DC100101,,24878,Continental,DC10-30,N19072,Aviation200 Continental Airlines DC-10-30 1:200 - AV2DC100101 - ID#24878;  1980s - Red Meatball  Colors.N19072,1:200,75.0,5.0,0.0,AVIATION200,RUSSELL EPSTEIN,2013-06-01,False,96.0
97,PH4SIA286,,18309,SINGAPORE AIRLINES,B777-200ER,9V-SQH,Phoenix Models Singapore Airlines B 777-212ER 1:400 - PH4SIA286  - ID#18309 ; 2007s  Colors. With  Star Alliance  Logo. With Rolling Gears.9V-SQH,1:400,26.0,1.25,0.0,PHOENIX MODELS,CORREY,2011-02-15,False,97.0
98,PH41BE541,,24574,IBERIA,A340-600,EC-LEV,Phoenix Models Iberia A340-642 1:400 - PH41BE541 / PH10443 - ID#24574 ;Campeones  Colors. With  OneWorld  Logo. Named  Isaac Albeniz .EC-LEV,1:400,26.0,1.25,0.0,PHOENIX MODELS,CORREY,2011-02-15,False,98.0
100,WID8262,,8262,VIRGIN ATLANTIC,B767-300ER,PH-MCG,Aeroclassics Virgin Atlantic Airways B 767-31AER 1:400; Early 1990s  Colors. Named  Prins Johan Friso . With  Polished  Belly. Exclusive to SkyJets400. PH-MCG,1:400,26.0,1.25,0.0,AEROCLASSICS,CORREY,2011-02-15,False,100.0
101,JM76705,,23673,ANA,B767-300ER,JA8358,Blue Angel ANA All Nippon Airways B 767-381ER 1:400 - JM76705 - ID#23673 ; 1990s  Colors. With  Yokoso Japan  Titles. With  Star Alliance  Logo. JA8358,1:400,26.0,1.25,0.0,BLUE ANGEL,CORREY,2011-02-15,False,101.0
103,ACTSO037,,9627,Transaero Airlines,B767-300ER,EI-DFS,Aeroclassics Transaero Airlines B 767-33AER 1:400 - ACTSO037 - ID#9627 ;  2004s  Colors. With Cockpit Window Frames.EI-DFS,1:400,26.0,1.25,0.0,AEROCLASSICS,CORREY,2011-02-15,False,103.0
104,ACCFCAE,,17668,AIR CANADA,B767-300ER,C-FCAE,Aeroclassics Air Canada B 767-375ER 1:400 - ACCFCAE  - ID#17668 ; Trans Canada 70th Anniversary  Colors. With  Star Alliance  Logo. C-FCAE,1:400,26.0,1.25,0.0,AEROCLASSICS,CORREY,2011-02-15,False,104.0
107,BB4-2004-46,,7675,BRITISH AIRWAYS,B767-300ER,G-BNWH,BigBird400 British Airways B 767-336ER 1:400 - BB4-2004-46  - ID#7675 ; Interim - Landor  Colors. With Stand.G-BNWH,1:400,26.0,1.25,0.0,BIGBIRD400,CORREY,2011-02-15,False,107.0
108,PH4UAE402,,21433,EMIRATES,B777-200LR,A6-EFD,Phoenix Models Emirates B 777-21HLRF 1:400 - PH4UAE402 / PH10324 - ID#21433 ; 2000s  Colors. With  SkyCargo  Titles. With Rolling Gears.A6-EFD;,1:400,26.0,1.25,0.0,PHOENIX MODELS,CORREY,2011-02-15,False,108.0
109,WID13144,,13144,CATHAY PACIFIC,B747-200,B-HVX,Blue Box Cathay Pacific B 747-267FSCD 1:400 - NA - ID#13144 ; 1997s  Colors. With  Asia's World City  Titles.B-HVX,1:400,21.0,1.25,0.0,BLUE BOX,CORREY,2011-02-15,False,109.0
110,WID13143,,13143,CATHAY PACIFIC,B747-200,B-HMF,Blue Box Cathay Pacific B 747-2L5FSCD 1:400 - NA - ID#13143 ; 1997s  Colors.  B-HMF,1:400,21.0,1.25,0.0,BLUE BOX,CORREY,2011-02-15,False,110.0
111,WID8283,,8283,QANTAS,B767-300ER,VH-OGV,BigBird400 Qantas Airways B 767-338ER 1:400 - BB4-2004-XX - ID#8283; 1990s  Colors. With  GE Engines .VH-OGV,1:400,26.0,1.25,0.0,BIGBIRD400,CORREY,2011-02-15,False,111.0
112,ACVTEHQ,,19647,AIR INDIA,A300-200,VT-EHQ,Aeroclassics Air India A300B4-203 1:400 - ACVTEHQ - ID#19647;  1990s  Colors. Named  Cauvery . With Rolling Gears.VT-EHQ,1:400,32.95,1.6,0.0,AEROCLASSICS,JUSTPLANEFUN,2010-12-20,False,112.0
113,HE505277,,20057,AIR INDIA,B777-200LR,VT-ALA,Herpa Air India B 777-237LR 1:500 - 505277 - ID#20057; 2007s  Colors. Named  Andhra Pradesh . New Generation.VT-ALA,1:500,29.1,1.75,0.0,HERPA,JUSTPLANEFUN,2010-12-20,False,113.0
114,HE512091,,1813,AIR INDIA,B747-400,VT-ESM,Herpa Air India B 747-437 1:500 - 512091 - ID#1813; 1990s  Colors. Named  Konark .VT-ESM,1:500,25.95,1.6,0.0,HERPA,JUSTPLANEFUN,2010-12-20,False,114.0
115,ACVTDVA,,22600,AIR INDIA,B707-300,VT-DVA,Aeroclassics Air India B 707-337B 1:400 - ACVTDVA - ID#22600; 1970s  Colors. With Polished Belly. With Rolling Gears.VT-DVA,1:400,33.95,1.6,0.0,AEROCLASSICS,JUSTPLANEFUN,2010-12-20,False,115.0
116,AV4738008,,19630,JET AIRWAYS,B737-800,VT-JBB,Aviation400 Jet Airways B 737-8HXWL 1:400 - AV4738008 - ID#19630; 2007s  Colors. With Rolling Gears. With Stand.VT-JBB,1:400,33.95,1.6,0.0,AVIATION400,JUSTPLANEFUN,2010-12-20,False,116.0
117,PH4KFR317,,19040,KINGFISHER,A380-800,VT-KIN,Phoenix Models Kingfisher Airlines A380-841 1:400 - PH4KFR317 - ID#19040; 2000s  Colors. With Rolling Gears.VT-KIN,1:400,44.95,1.6,0.0,PHOENIX MODELS,JUSTPLANEFUN,2010-12-20,False,117.0
118,HG6054,,24741,IAF,SU30MK-1,SB008,Hogan Indian Air Force SU-30MK 1:200 - 6054 - ID#24741;  Hunting Hawks .SB008,1:200,33.95,0.0,0.0,HOGAN,http://www.diecastairplane.com,2010-12-20,False,118.0
119,IF5744006,,19217,AIR INDIA,B747-400,VT-AIS,Inflight500 Air India B 747-4H6 1:500 - IF5744006 - ID#19217; 2007s  Colors.VT-AIS,1:500,29.95,1.0,0.0,INFLIGHT 500,http://www.diecastairplane.com,2010-12-20,False,119.0
120,DRW55954,,13544,AIR INDIA,B777-200ER,VT-AIL,Dragon Wings Air India B 777-222ER 1:400 - 55954 - ID#13544;  2000s  Colors. Named  Kalyani . With Stand.VT-AIL,1:400,23.95,0.0,0.0,DRAGON WINGS,http://www.diecastairplane.com,2010-12-20,False,120.0
121,DRW55960,,13696,AIR INDIA,B747-400,VT-AIQ,Dragon Wings Air India B 747-412 1:400 - 55960 - ID#13696;  1990s  Colors. Named  Elephanta . With Stand.VT-AIQ,1:400,23.95,0.0,0.0,DRAGON WINGS,http://www.diecastairplane.com,2010-12-20,False,121.0
122,DRW56078,,17433,AIR INDIA,B777-200/TERMINAL,VT-ALB,Dragon Wings Air India B 777-237LR 1:400 - 55348 - ID#17433;  2007s  Colors. With Stand. Named  Kalyani .VT-ALB . With terminal,1:400,26.95,0.0,0.0,DRAGON WINGS,http://www.diecastairplane.com,2010-12-20,False,122.0
123,608411,,20628,AIR INDIA,A310-300,VT-EQT,Air India Cargo Airbus A310-300;Wooster Air India A310-304F 1:200 - 608411 ;,1:200,19.89,8.95,0.0,WOOSTER,http://www.micro-wings.com,2010-12-18,False,123.0
